1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.697160412909302571e-02,-5.000000000000000000e-01,1.110254885328001637e-02
9.997454259380635921e-01,-3.374436328849471367e-02,-4.998334617672007818e-01,2.206730162698521472e-02
9.992392604887361252e-01,-5.031406074673976797e-02,-4.995024522427959912e-01,3.289084722969412566e-02
9.984845495775350743e-01,-6.667662847050509489e-02,-4.990090895343505806e-01,4.356987996732655799e-02
9.974844001504774571e-01,-8.282814821992767751e-02,-4.983555413348406682e-01,5.410120089191625820e-02
9.962419779271785014e-01,-9.876485241214694177e-02,-4.975440233214619146e-01,6.448171901286818553e-02
9.947605051409963428e-01,-1.144831247521903572e-01,-4.965767975362688769e-01,7.470845236846600235e-02
9.930432582697135135e-01,-1.299795006314685974e-01,-4.954561707507418866e-01,8.477852895594051308e-02
9.910935657602414350e-01,-1.452506672952940947e-01,-4.941844928164027539e-01,9.468918751896854280e-02
9.889148057508120315e-01,-1.602934637819729002e-01,-4.927641550036181983e-01,1.044377781920388243e-01
9.865104037940823911e-01,-1.751048806371332534e-01,-4.911975883307376223e-01,1.140217630016935602e-01
9.838838305845254428e-01,-1.896820594080345090e-01,-4.894872618857122326e-01,1.234387162252255227e-01
9.810385996934049002e-01,-2.040222919236356347e-01,-4.876356811423338544e-01,1.326863246079772185e-01
9.779782653145503435e-01,-2.181230193671846729e-01,-4.856453862732141857e-01,1.417623874409455753e-01
9.747064200240426191e-01,-2.319818311490100537e-01,-4.835189504615999834e-01,1.506648165009383256e-01
9.712266925568074916e-01,-2.455964635880430180e-01,-4.812589782140859196e-01,1.593916358560535373e-01
9.675427456029868090e-01,-2.589647984113709334e-01,-4.788681036762451049e-01,1.679409815397555072e-01
9.636582736268162197e-01,-2.720848610818085156e-01,-4.763489889531487553e-01,1.763111010972968073e-01
9.595770007105890453e-01,-2.849548189640722096e-01,-4.737043224366893068e-01,1.845003530086831434e-01
9.553026784261279269e-01,-2.975729793406498014e-01,-4.709368171415590498e-01,1.925072059927913082e-01
9.508390837360182202e-01,-3.099377872888699481e-01,-4.680492090516671921e-01,2.003302381976298507e-01
9.461900169266851401e-01,-3.220478234309941956e-01,-4.650442554787027616e-01,2.079681362820728630e-01
9.413592995752202430e-01,-3.339018015693758779e-01,-4.619247334344716571e-01,2.154196943946991016e-01
9.363507725516796443e-01,-3.454985662188610473e-01,-4.586934380185511695e-01,2.226838130556300643e-01
9.311682940583967394e-01,-3.568370900486439457e-01,-4.553531808227166966e-01,2.297594979474791022e-01
9.258157377076671191e-01,-3.679164712457402842e-01,-4.519067883535045071e-01,2.366458586217016768e-01
9.202969906389809607e-01,-3.787359308121102108e-01,-4.483571004741789823e-01,2.433421071267711511e-01
9.146159516767993214e-01,-3.892948098072512297e-01,-4.447069688672773968e-01,2.498475565646977592e-01
9.087765295296905688e-01,-3.995925665477989552e-01,-4.409592555188069363e-01,2.561616195824605868e-01
9.027826410314735428e-01,-4.096287737753249725e-01,-4.371168312250700017e-01,2.622838068049346272e-01
8.966382094248436241e-01,-4.194031158031125694e-01,-4.331825741229959892e-01,2.682137252158686702e-01
8.903471626877969003e-01,-4.289153856522302521e-01,-4.291593682447579772e-01,2.739510764934077192e-01
8.839134319030134135e-01,-4.381654821867181915e-01,-4.250501020973568855e-01,2.794956553065562899e-01
8.773409496702125887e-01,-4.471534072571580198e-01,-4.208576672677585284e-01,2.848473475788498854e-01
8.706336485613551668e-01,-4.558792628613226317e-01,-4.165849570540757774e-01,2.900061287253438702e-01
8.637954596184352907e-01,-4.643432483300043989e-01,-4.122348651231956262e-01,2.949720618688427276e-01
8.568303108934852697e-01,-4.725456575455051489e-01,-4.078102841951629642e-01,2.997452960410839640e-01
8.497421260303027468e-01,-4.804868761996450299e-01,-4.033141047545467095e-01,3.043260643743593841e-01
8.425348228873080769e-01,-4.881673790975189497e-01,-3.987492137889313004e-01,3.087146822888073849e-01
8.352123122008452416e-01,-4.955877275125986636e-01,-3.941184935545992141e-01,3.129115456803452933e-01
8.277784962881562514e-01,-5.027485665981589191e-01,-3.894248203693940202e-01,3.169171291139329383e-01
8.202372677891838215e-01,-5.096506228593934429e-01,-3.846710634326850342e-01,3.207319840265714372e-01
8.125925084462929382e-01,-5.162947016899921415e-01,-3.798600836722864638e-01,3.243567369441462400e-01
8.048480879209430894e-01,-5.226816849763761264e-01,-3.749947326181242713e-01,3.277920877159237745e-01
7.970078626462974158e-01,-5.288125287722317269e-01,-3.700778513023854077e-01,3.310388077702101639e-01
7.890756747147139594e-01,-5.346882610454583018e-01,-3.651122691858322833e-01,3.340977383943769530e-01
7.810553507990320998e-01,-5.403099794991425009e-01,-3.601008031099166562e-01,3.369697890421609610e-01
7.729507011065449573e-01,-5.456788494677011769e-01,-3.550462562742842665e-01,3.396559356708477306e-01
7.647655183645294397e-01,-5.507961018888922755e-01,-3.499514172392215738e-01,3.421572191106590499e-01
7.565035768361960677e-01,-5.556630313519830278e-01,-3.448190589525617078e-01,3.444747434683814724e-01
7.481686313659162701e-01,-5.602809942219882933e-01,-3.396519378005359857e-01,3.466096745669988710e-01
7.397644164525863930e-01,-5.646514068395412922e-01,-3.344527926820309860e-01,3.485632384228273262e-01
7.312946453499932220e-01,-5.687757437956477702e-01,-3.292243441056885711e-01,3.503367197613965200e-01
7.227630091930584699e-01,-5.726555362802876470e-01,-3.239692933092676030e-01,3.519314605730807788e-01
7.141731761488541164e-01,-5.762923705035767341e-01,-3.186903214006713836e-01,3.533488587092517563e-01
7.055287905913004698e-01,-5.796878861879753986e-01,-3.133900885200325837e-01,3.545903665195085930e-01
6.968334722984808050e-01,-5.828437751298372049e-01,-3.080712330222399320e-01,3.556574895303367678e-01
6.880908156715332957e-01,-5.857617798284197042e-01,-3.027363706792848830e-01,3.565517851653567938e-01
