iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,0.5101001599469673,1.010049662092877,1280.690759842853,0.0011483515502973358,1.0,False
1,0.0357782400114897,0.2675004299491487,178.65704267854002,0.0007807034874549937,1.0,False
2,0.0034964547099276344,0.08362361759607909,37.651247619339536,0.0005076891515266321,1.0,False
3,0.00012886431727059786,0.016053928944068357,6.162558576095077,0.00014436562953902345,1.0,False
4,3.7925335285014055e-07,0.0008709229045674945,0.33100634751311586,8.548127097954045e-06,1.0,False
5,3.1125239422480272e-12,2.495004586067139e-06,0.0009563403880514609,2.448860350064479e-08,1.0,False
6,4.619253529924586e-19,9.611715278684222e-10,4.208140463937722e-07,0.0,0.0,True
