iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,0.0009976696247111277,0.044669220380730346,0.00036735238176135635,0.3394295846797281,0.0625,False
1,2.6921105288835175e-05,0.007337725163677797,2.468426914933354e-05,0.06810343761231459,0.03125,False
2,3.9808580978729513e-07,0.0008922844947518646,2.0731195022559347e-06,0.011979221390011749,0.03125,False
3,3.430886898169301e-07,0.0008283582435358872,1.0581595228314179e-05,0.008105291746778931,0.125,False
4,6.695685933355169e-08,0.0003659422340576493,7.31928839555098e-05,0.0018295997910690379,1.0,False
5,3.5598317645903165e-08,0.0002668269763194987,0.00014987279997454115,0.0004750470602217568,1.0,False
6,5.915359859506827e-10,3.4395813290302724e-05,1.4566652217889269e-05,8.121783154025417e-05,1.0,False
7,3.1749887997189975e-13,7.96867466987955e-07,3.2178243617068334e-07,0.0,0.0,True
