iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,9.225168777916037,4.295385612006456,4.295386032264425,4.2953851487946855,1.0,False
1,3.3560466286344126,2.5907707843938694,2.590770949282271,1.295385296798888,0.5,False
2,0.8390113694427133,1.2953851700885828,1.295386185615157,0.6476920708044919,0.5,False
3,0.20975138430979695,0.6476903338939017,0.6477019429674189,0.3238393592759523,0.5,False
4,0.05228436498798241,0.32337088609824605,0.33434195714802556,0.019547488499828288,0.0625,False
5,0.044823970520791255,0.29941266012241785,0.6258558439076672,0.0044762674638393705,0.03125,False
6,0.03933264772912963,0.2804733417960774,2.663826032338293,0.0036913679090975825,0.125,False
7,0.004111582883964051,0.09068167272347871,54.75963306838885,0.00015016838695135218,1.0,False
8,7.116165363538016e-05,0.011929933246701774,5.390427537430181,2.6402971987376757e-05,1.0,False
9,4.0248025013470824e-08,0.00028371825818396257,0.12191894187104925,6.602423609620565e-07,1.0,False
10,4.17204260134417e-15,9.134596434812181e-08,3.920394824019341e-05,0.0,0.0,True
