iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,0.5101001599469673,1.010049662092877,1907702.6697929597,8.96397893099188e-07,1.0,False
1,0.014702394099505493,0.1714782440982266,32670.235756504837,8.186008486991732e-18,9.094947017729282e-13,False
2,0.014702394099505493,0.1714782440982266,32670.235756504837,1.6372016973983464e-17,1.8189894035458565e-12,False
3,0.014702394099505488,0.17147824409822657,32670.235756504826,8.18600848699173e-18,9.094947017729282e-13,False
4,0.014702394099505488,0.17147824409822657,32670.235756504826,8.18600848699173e-18,9.094947017729282e-13,False
5,0.014702394099505488,0.17147824409822657,32670.235756504826,8.18600848699173e-18,9.094947017729282e-13,False
6,0.014702394099505484,0.17147824409822654,32670.235756504822,8.186008486991729e-18,9.094947017729282e-13,False
7,0.014702394099505484,0.17147824409822654,32670.235756504822,1.6372016973983458e-17,1.8189894035458565e-12,False
8,0.014702394099505479,0.1714782440982265,32670.235756504815,8.18600848699175e-18,9.094947017729282e-13,False
9,0.014702394099505479,0.1714782440982265,32670.235756504815,8.18600848699175e-18,9.094947017729282e-13,False
10,0.014702394099505479,0.1714782440982265,32670.235756504815,1.63720169739835e-17,1.8189894035458565e-12,False
11,0.014702394099505474,0.17147824409822648,32670.235756504804,8.186008486991749e-18,9.094947017729282e-13,False
12,0.014702394099505474,0.17147824409822648,32670.235756504804,1.6372016973983498e-17,1.8189894035458565e-12,False
13,0.014702394099505469,0.17147824409822646,32670.2357565048,8.186008486991749e-18,9.094947017729282e-13,False
14,0.014702394099505469,0.17147824409822646,32670.2357565048,8.186008486991749e-18,9.094947017729282e-13,False
15,0.014702394099505469,0.17147824409822646,32670.235756504797,8.186008486991746e-18,9.094947017729282e-13,False
16,0.014702394099505469,0.17147824409822646,32670.235756504797,8.186008486991749e-18,9.094947017729282e-13,False
17,0.014702394099505465,0.17147824409822643,32670.235756504793,8.186008486991749e-18,9.094947017729282e-13,False
18,0.014702394099505465,0.17147824409822643,32670.235756504793,1.6372016973983498e-17,1.8189894035458565e-12,False
19,0.01470239409950546,0.1714782440982264,32670.235756504786,8.186008486991746e-18,9.094947017729282e-13,False
20,0.01470239409950546,0.1714782440982264,32670.235756504782,1.6372016973983492e-17,1.8189894035458565e-12,False
21,0.014702394099505455,0.17147824409822637,32670.23575650478,8.186008486991744e-18,9.094947017729282e-13,False
22,0.014702394099505455,0.17147824409822637,32670.23575650478,8.186008486991744e-18,9.094947017729282e-13,False
23,0.014702394099505455,0.17147824409822637,32670.23575650478,1.637201697398349e-17,1.8189894035458565e-12,False
24,0.01470239409950545,0.17147824409822635,32670.23575650477,8.186008486991744e-18,9.094947017729282e-13,False
25,0.01470239409950545,0.17147824409822635,32670.23575650477,8.186008486991744e-18,9.094947017729282e-13,False
26,0.01470239409950545,0.17147824409822635,32670.23575650477,8.186008486991744e-18,9.094947017729282e-13,False
27,0.014702394099505446,0.17147824409822632,32670.235756504764,8.186008486991741e-18,9.094947017729282e-13,False
28,0.014702394099505446,0.17147824409822632,32670.235756504764,8.186008486991743e-18,9.094947017729282e-13,False
29,0.014702394099505446,0.17147824409822632,32670.23575650476,1.6372016973983483e-17,1.8189894035458565e-12,False
30,0.014702394099505441,0.1714782440982263,32670.235756504757,8.18600848699174e-18,9.094947017729282e-13,False
31,0.014702394099505441,0.1714782440982263,32670.235756504757,1.6372016973983483e-17,1.8189894035458565e-12,False
32,0.014702394099505436,0.17147824409822626,32670.23575650475,8.186008486991738e-18,9.094947017729282e-13,False
33,0.014702394099505436,0.17147824409822626,32670.23575650475,1.637201697398348e-17,1.8189894035458565e-12,False
34,0.01470239409950543,0.17147824409822623,32670.235756504746,8.18600848699174e-18,9.094947017729282e-13,False
35,0.01470239409950543,0.17147824409822623,32670.235756504746,8.18600848699174e-18,9.094947017729282e-13,False
36,0.01470239409950543,0.17147824409822623,32670.235756504742,8.186008486991738e-18,9.094947017729282e-13,False
37,0.01470239409950543,0.17147824409822623,32670.235756504742,8.186008486991738e-18,9.094947017729282e-13,False
38,0.014702394099505427,0.1714782440982262,32670.235756504735,8.186008486991737e-18,9.094947017729282e-13,False
39,0.014702394099505427,0.1714782440982262,32670.235756504735,1.6372016973983473e-17,1.8189894035458565e-12,False
40,0.014702394099505422,0.17147824409822618,32670.23575650473,8.186008486991737e-18,9.094947017729282e-13,False
41,0.014702394099505422,0.17147824409822618,32670.235756504728,8.186008486991735e-18,9.094947017729282e-13,False
42,0.014702394099505422,0.17147824409822618,32670.235756504728,1.637201697398347e-17,1.8189894035458565e-12,False
43,0.014702394099505417,0.17147824409822615,32670.235756504724,8.186008486991735e-18,9.094947017729282e-13,False
44,0.014702394099505417,0.17147824409822615,32670.235756504724,1.637201697398347e-17,1.8189894035458565e-12,False
45,0.014702394099505411,0.17147824409822612,32670.235756504713,8.186008486991732e-18,9.094947017729282e-13,False
46,0.014702394099505411,0.17147824409822612,32670.235756504713,8.186008486991732e-18,9.094947017729282e-13,False
47,0.014702394099505411,0.17147824409822612,32670.235756504713,8.186008486991732e-18,9.094947017729282e-13,False
48,0.014702394099505411,0.17147824409822612,32670.235756504713,8.186008486991721e-18,9.094947017729282e-13,False
49,0.014702394099505408,0.1714782440982261,32670.235756504706,8.18600848699173e-18,9.094947017729282e-13,False
50,0.014702394099505408,0.1714782440982261,32670.235756504706,1.6372016973983464e-17,1.8189894035458565e-12,False
51,0.014702394099505403,0.17147824409822607,32670.235756504702,8.18600848699173e-18,9.094947017729282e-13,False
52,0.014702394099505403,0.17147824409822607,32670.235756504702,1.637201697398346e-17,1.8189894035458565e-12,False
53,0.014702394099505398,0.17147824409822604,32670.23575650469,8.186008486991727e-18,9.094947017729282e-13,False
54,0.014702394099505398,0.17147824409822604,32670.23575650469,8.186008486991727e-18,9.094947017729282e-13,False
55,0.014702394099505398,0.17147824409822604,32670.23575650469,1.6372016973983455e-17,1.8189894035458565e-12,False
56,0.014702394099505392,0.171478244098226,32670.235756504688,8.186008486991727e-18,9.094947017729282e-13,False
57,0.014702394099505392,0.171478244098226,32670.235756504688,8.186008486991727e-18,9.094947017729282e-13,False
58,0.014702394099505392,0.171478244098226,32670.235756504684,8.186008486991727e-18,9.094947017729282e-13,False
59,0.014702394099505389,0.17147824409822598,32670.23575650468,8.186008486991726e-18,9.094947017729282e-13,False
60,0.014702394099505389,0.17147824409822598,32670.23575650468,8.186008486991726e-18,9.094947017729282e-13,False
61,0.014702394099505389,0.17147824409822598,32670.23575650468,1.6372016973983452e-17,1.8189894035458565e-12,False
62,0.014702394099505384,0.17147824409822596,32670.23575650467,8.186008486991726e-18,9.094947017729282e-13,False
