iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,0.5101001599469673,1.010049662092877,0.11070450622167594,0.0,0.0,False
1,0.4979271763996108,0.9979250236361555,0.10921452549963244,0.11070450622167594,1.0,False
2,0.018269765454507918,0.19115316086587697,0.014819266885783285,8.722460262371568,1.0,False
3,0.0053884665273414185,0.10381200823933057,0.008441507914721962,1.195998224385832,1.0,False
4,0.0006619301421883329,0.036384890880373215,0.003070281052813204,1.0953550139901662,1.0,False
5,0.00023109453317465243,0.021498582891653694,0.0020406820806720015,0.32968594559791486,1.0,False
6,1.442776515216356e-05,0.005371734385124336,0.0005534838638109978,0.3407740682034782,1.0,False
7,5.30964796906726e-07,0.0010304996816173462,9.991141271321771e-05,0.08779875459359399,1.0,False
8,2.5964557588788585e-09,7.206185896684679e-05,5.34801562621695e-06,0.02094542536715083,1.0,False
9,4.606933198895589e-11,9.598888684525505e-06,9.771744015755353e-07,0.0014986609194559302,1.0,False
10,1.3082501905186265e-13,5.115173878801436e-07,5.473207335756854e-08,0.00013130732317692443,1.0,False
11,1.5708427897015762e-16,1.7724800645996424e-08,1.7151109454644777e-09,9.13114426081262e-06,1.0,True
