iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,0.5101001599469673,1.010049662092877,128.9255544263073,0.011328455682281875,1.0,False
1,0.03407683232702706,0.2610625684659793,17.809366040319546,0.007265369368926764,1.0,False
2,0.0028831791229834017,0.07593654091388943,3.6006255320680594,0.0040755139492781416,1.0,False
3,6.964378945519364e-05,0.01180201588333058,0.5001417256183449,0.0008478088978819694,1.0,False
4,7.21041563426319e-08,0.00037974769608947436,0.0164587804514676,2.8110992653342178e-05,1.0,False
5,7.672479965425116e-14,3.917264342733361e-07,1.754579650911277e-05,0.0,0.0,True
