iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,3.9600345480975276,2.8142617319991854,2.8152174848950153,2.813316322879304,1.0,False
1,1.544438817025831,1.7575203082899673,1.8245127306144868,1.7267043542889773,1.0,False
2,1.0600227180880073,1.4560375806194066,1.463529999267498,0.3626218451466955,0.25,False
3,0.5493944597387284,1.048231329181425,1.0621296185720728,0.06465723568896987,0.0625,False
4,0.35317595401442076,0.8404474451319616,39.90807139824713,0.01953233759563897,0.0625,False
5,0.2680835620324963,0.7322343368519347,78.90680017132293,0.009096691128135609,0.0625,False
6,0.20460205260664185,0.6396906324257716,143.05216588361236,0.0076984523702377065,0.25,False
7,0.05653249601964885,0.3362513822117282,129.5792295485526,0.0010269083434191173,1.0,False
8,0.005043727353804568,0.10043632165511208,33.87132819071631,0.0006305895884262221,1.0,False
9,0.00027530064620409335,0.023464894894462806,7.566163439262107,0.00023043586399767784,1.0,False
10,1.946054041918851e-06,0.0019728426404145116,0.6665308713764954,2.1920242581687688e-05,1.0,False
11,1.1622875149347954e-10,1.5246557086337856e-05,0.0054905058826552585,1.666816419544962e-07,1.0,False
12,1.1161077869454945e-17,4.72463286816128e-09,1.8392086410685845e-06,0.0,0.0,True
