iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,0.0022139226051481223,0.06654205595182827,0.0021401288823032897,1.0344709707177737,0.5,False
1,0.0011440858018743206,0.04783483671706888,0.08496668184802411,0.026930221902616097,1.0,False
2,0.0009993664088522728,0.044707189776416786,0.00015097215133721184,0.41335885512177656,0.03125,False
3,0.00011812352908969454,0.01537033045120986,4.65561674157156e-05,0.1584039847472252,0.03125,False
4,4.7500792797933945e-07,0.0009746875683821349,1.1130772250232008e-05,0.04267192757527396,0.5,False
5,1.5727099007741918e-07,0.0005608404230749049,5.968763123603679e-05,0.002634898520290734,0.5,False
6,1.261753979083174e-10,1.588555305353373e-05,6.5550021771572556e-06,3.8497436640905284e-05,1.0,False
7,1.4986637198132082e-14,1.7312791339429978e-07,6.984753804160175e-08,0.0,0.0,True
