iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,3.948737071983826,2.8102444989658197,2.8195509408565687,2.801732285340889,1.0,False
1,1.5190672360502266,1.7430245185023798,1.7500566741754042,1.7367218393321298,1.0,False
2,1.130696230282993,1.5037926920177482,3.470755564109707,0.3741334018960838,0.25,False
3,0.636132351300689,1.1279471187078665,2.256163278402513,0.06964124282718599,0.0625,False
4,0.5566628406918819,1.0551424934025564,5.740874052275784,0.03055479523568524,0.03125,False
5,0.5129981865710811,1.0129147906621574,15.720158577137,0.011488861850806237,0.03125,False
6,0.22823736540096137,0.6756291370285349,200.98738320414455,0.00227415618672381,1.0,False
7,0.16279050347015847,0.5705970618048405,473.4469945474229,0.0006898179503153853,1.0,False
8,0.002130524991957535,0.06527671854432536,10.88970224139278,0.0005026277557258329,1.0,False
9,7.044910647140739e-05,0.011870055304960242,2.8142889737189947,0.00012709738833285565,1.0,False
10,1.5748564781178288e-07,0.0005612230355425246,0.1667311475253228,6.227535858956423e-06,1.0,False
11,6.125849916958964e-13,1.1068739690641355e-06,0.00035478502567845674,1.2042271542119294e-08,1.0,False
12,9.494251471751912e-20,4.357579941148966e-10,1.878098492956708e-07,0.0,0.0,True
