1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-3.526415127297299890e-02
9.992947169745405311e-01,-7.026406449319300140e-02
9.978894356846766955e-01,-1.049635568587960616e-01
9.957901645475008001e-01,-1.393245545472534819e-01
9.930036734565557133e-01,-1.733069617984097643e-01
9.895375342205875446e-01,-2.068685380258704076e-01
9.854001634600700887e-01,-2.399647905824388028e-01
9.806008676484213593e-01,-2.725488931116292202e-01
9.751498897861887727e-01,-3.045716420499160471e-01
9.690584569451904384e-01,-3.359814666921887016e-01
9.623388276113467033e-01,-3.667245110788958651e-01
9.550043373897687538e-01,-3.967448084488383597e-01
9.470694412207919521e-01,-4.259845705958236750e-01
9.385497498088755108e-01,-4.543846144581258906e-01
9.294620575197130030e-01,-4.818849457955593496e-01
9.198243586038018504e-01,-5.084255139605752261e-01
9.096558483245903437e-01,-5.339471417816914478e-01
8.989769054889564792e-01,-5.583926201154668645e-01
8.878090530866471486e-01,-5.817079381314474995e-01
8.761748943240181831e-01,-6.038435994122958173e-01
8.640980223357722645e-01,-6.247559532503897950e-01
8.516029032707644886e-01,-6.444084538983315680e-01
8.387147341927978506e-01,-6.627727521421812318e-01
8.254592791499542059e-01,-6.798295268704315220e-01
8.118626886125456243e-01,-6.955689808737826052e-01
7.979513089950699412e-01,-7.099909537277088178e-01
7.837514899205157981e-01,-7.231046411921022710e-01
7.692893970966737660e-01,-7.349279489656327380e-01
7.545908381173611623e-01,-7.454865422295665622e-01
7.396811072727698111e-01,-7.548126758479384302e-01
7.245848537558110536e-01,-7.629439005511031713e-01
7.093259757447889502e-01,-7.699217380561294011e-01
6.939275409836663799e-01,-7.757904054424010765e-01
6.784117328748183740e-01,-7.805956501290252092e-01
6.627998198722379053e-01,-7.843837355905463049e-01
6.471121451604270325e-01,-7.872005978735782117e-01
6.313681332029554838e-01,-7.890911762430168341e-01
6.155863096780951338e-01,-7.900989088955840955e-01
5.997843315001833986e-01,-7.902653766735442398e-01
5.839790239667125293e-01,-7.896300735207876231e-01
5.681864224962968057e-01,-7.882302811874771775e-01
5.524218168725472111e-01,-7.861010265050194512e-01
5.366997963424467999e-01,-7.832751016215210305e-01
5.210342943100163549e-01,-7.797831302808155840e-01
5.054386317044000654e-01,-7.756536660977817466e-01
4.899255583824444482e-01,-7.709133115403580261e-01
4.745072921516372833e-01,-7.655868488107537839e-01
4.591955551754222098e-01,-7.596973759508820478e-01
4.440016076564045622e-01,-7.532664432650758579e-01
4.289362787911030206e-01,-7.463141865770624994e-01
4.140099950595617639e-01,-7.388594549566190883e-01
3.992328059604293711e-01,-7.309199314100381928e-01
3.846144073322286250e-01,-7.225122456733533705e-01
3.701641624187615442e-01,-7.136520787204145844e-01
3.558911208443532592e-01,-7.043542589361500017e-01
3.418040356656302792e-01,-6.946328501395747645e-01
3.279113786628387595e-01,-6.845012317964936921e-01
3.142213540269088723e-01,-6.739721718585088839e-01
3.007419105897387035e-01,-6.630578927186289162e-01
2.874807527353661074e-01,-6.517701307966531354e-01
2.744453501194330514e-01,-6.401201902688147261e-01
2.616429463140567679e-01,-6.281189914428597643e-01
2.490805664851995782e-01,-6.157771142569523626e-01
2.367650242000605421e-01,-6.031048373522935879e-01
2.247029274530146781e-01,-5.901121731378115021e-01
2.129006839902584380e-01,-5.768088992326324549e-01
2.013645060056057923e-01,-5.632045866395836153e-01
1.901004142728141277e-01,-5.493086249715679603e-01
1.791142417733827541e-01,-5.351302450228558882e-01
1.684116368729256241e-01,-5.206785389494595906e-01
1.579980660939364345e-01,-5.059624782969599499e-01
1.478788165279972255e-01,-4.909909300904832241e-01
1.380589979261875599e-01,-4.757726711799402652e-01
1.285435445025887580e-01,-4.603164010140604612e-01
1.193372164823075510e-01,-4.446307529990651819e-01
1.104446014223262468e-01,-4.287243045818969200e-01
1.018701153306883073e-01,-4.126055861836127048e-01
9.361800360701605372e-02,-3.962830890957271257e-01
8.569234182510150621e-02,-3.797652724408139835e-01
7.809703637628521988e-02,-3.630605692884198987e-01
7.083582499051682690e-02,-3.461773920081856470e-01
6.391227715035310841e-02,-3.291241369339024114e-01
5.732979441167505852e-02,-3.119091884049494112e-01
5.109161064357607002e-02,-2.945409222450692255e-01
4.520079219867468440e-02,-2.770277087326611376e-01
3.966023802402145887e-02,-2.593779151116288317e-01
3.447267972178888473e-02,-2.415999076872439033e-01
2.964068156804400625e-02,-2.237020535474179284e-01
2.516664049709564643e-02,-2.056927219461618939e-01
2.105278605817240828e-02,-1.875802853828022754e-01
1.730118035051636180e-02,-1.693731204076782404e-01
1.391371794236279796e-02,-1.510796081825253601e-01
1.089212577871229159e-02,-1.327081348215260193e-01
8.237963082281770863e-03,-1.142670915370447154e-01
5.952621251540876623e-03,-9.576487461234527154e-02
4.037323759293971227e-03,-7.720988522208055427e-02
2.493126054852360090e-03,-5.861052912003816839e-02
1.320915472451596705e-03,-3.997521621249820745e-02
5.214111482016325514e-04,-2.131236003459881234e-02
9.516394750965628943e-05,-2.630377146299368168e-03
