iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,2.634397553903126,2.2953856120064557,2.2953858345469045,1.1476926832560899,0.5,False
1,0.6585990226488883,1.147692487253348,1.1476939410149978,0.5738455110083293,0.5,False
2,0.1646475855036828,0.5738424618371889,0.5738632910396567,0.14345540691323685,0.25,False
3,0.09260943046544855,0.4303706088139583,0.4305076780445676,0.10755839473129751,0.25,False
4,0.05194312300802769,0.3223138936131289,0.33451345507237057,0.0194099526260292,0.0625,False
5,0.04422462954603862,0.29740420153736435,0.7394053567316994,0.007476384413478536,0.0625,False
6,0.02668186123049248,0.2310058926975348,202.04742531396465,0.0002641148353069163,1.0,False
7,0.001240802975931444,0.04981571992717648,26.132243727596343,9.49633708353239e-05,1.0,False
8,8.999016954538657e-06,0.004242408974754475,1.8548782118445046,9.703081201853674e-06,1.0,False
9,6.068773372995821e-10,3.483898211198433e-05,0.01495453174146329,8.116300099412763e-08,1.0,False
10,4.603425822730444e-16,3.034279427716058e-08,1.3022552938441694e-05,0.0,0.0,True
